Uniqid,Category,Startdate,Starttime,Endtime,Cheetos Crunchy,Cheetos Crunchy Flamin' Hot,Cheetos Puffs,Chesters Flamin' Hot Fries,Doritos Cool Ranch,Doritos Jacked Smoky Chipotle BBQ,Doritos Nacho Cheese,Doritos Spicy Sweet Chili,Fritos Bar-B-Q,Fritos Chili Cheese,Fritos Flavor Twists Honey BBQ,Fritos The Original,Funyuns The Original,Lay's Baked Original,Lay's Barbecue,Lay's Classic,Lay's Dill Pickle,Lay's Garden Tomato and Basil,Lay's Kettle Cooked Mesquite BBQ,Lay's Kettle Cooked Original,Lay's Salt and Vinegar,Lay's Sour Cream and Onion,Lay's Sweet Southern Heat BBQ,Ruffles Cheddar and Sour Cream,Ruffles Sour Cream and Onion,Smartfood Popcorn White Cheddar,Sunchips French Onion,Sunchips Harvest Cheddar,Doritos Spicy Nacho,Comment
1395,1,9/30/13,14:36:59,14:39:55,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0,
1395,2,9/30/13,14:36:59,14:39:55,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
1395,3,9/30/13,14:36:59,14:39:55,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,
1397,1,9/30/13,15:45:50,15:50:18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,
1397,2,9/30/13,15:45:50,15:50:18,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,
1397,3,9/30/13,15:45:50,15:50:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,
1397,4,9/30/13,15:45:50,15:50:18,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,
1397,5,9/30/13,15:45:50,15:50:18,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,
1397,6,9/30/13,15:45:50,15:50:18,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1398,1,9/30/13,15:49:49,15:52:45,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,
1398,2,9/30/13,15:49:49,15:52:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,
1398,3,9/30/13,15:49:49,15:52:45,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,
1398,4,9/30/13,15:49:49,15:52:45,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,
1399,1,9/30/13,15:50:18,15:56:15,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,
